race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202608030902,３歳未勝利 出馬表 | 2026年5月23日 京都2R レース情報(JRA) - netkeiba,1,1,クレセントゼファー,牡3,57.0,池添,栗東高橋一,44.9,10
202608030902,３歳未勝利 出馬表 | 2026年5月23日 京都2R レース情報(JRA) - netkeiba,2,2,アルジェンタム,セ3,57.0,高杉,栗東野中,4.8,2
202608030902,３歳未勝利 出馬表 | 2026年5月23日 京都2R レース情報(JRA) - netkeiba,3,3,メイショウコシュウ,牡3,57.0,武豊,栗東松永幹,2.8,1
202608030902,３歳未勝利 出馬表 | 2026年5月23日 京都2R レース情報(JRA) - netkeiba,4,3,タイセイグローバル,牡3,57.0,角田和,栗東小林,20.6,7
202608030902,３歳未勝利 出馬表 | 2026年5月23日 京都2R レース情報(JRA) - netkeiba,5,4,テンカフブ,牡3,55.0,△田山,栗東吉村,38.1,9
202608030902,３歳未勝利 出馬表 | 2026年5月23日 京都2R レース情報(JRA) - netkeiba,6,4,アルメーリス,牡3,57.0,斎藤,栗東高橋一,52.5,12
202608030902,３歳未勝利 出馬表 | 2026年5月23日 京都2R レース情報(JRA) - netkeiba,7,5,ベラジオヴァレル,牡3,57.0,岩田望,栗東上村,9.8,5
202608030902,３歳未勝利 出馬表 | 2026年5月23日 京都2R レース情報(JRA) - netkeiba,8,5,ウォーターサオラ,牡3,57.0,松若,栗東庄野,47.6,11
202608030902,３歳未勝利 出馬表 | 2026年5月23日 京都2R レース情報(JRA) - netkeiba,9,6,フォーオール,セ3,57.0,横山和,栗東昆,8.2,4
202608030902,３歳未勝利 出馬表 | 2026年5月23日 京都2R レース情報(JRA) - netkeiba,10,6,タマモスカイ,牡3,57.0,吉村,栗東茶木,13.3,6
202608030902,３歳未勝利 出馬表 | 2026年5月23日 京都2R レース情報(JRA) - netkeiba,11,7,ロードステラート,牡3,57.0,西村淳,栗東武英,4.9,3
202608030902,３歳未勝利 出馬表 | 2026年5月23日 京都2R レース情報(JRA) - netkeiba,12,7,ホープレイジング,牡3,57.0,小崎,栗東小崎,122.6,14
202608030902,３歳未勝利 出馬表 | 2026年5月23日 京都2R レース情報(JRA) - netkeiba,13,8,マルカアルバ,牡3,57.0,酒井,栗東小栗,65.2,13
202608030902,３歳未勝利 出馬表 | 2026年5月23日 京都2R レース情報(JRA) - netkeiba,14,8,ロードファイター,牡3,57.0,団野,栗東東田,27.9,8
