race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202608030908,４歳以上１勝クラス 出馬表 | 2026年5月23日 京都8R レース情報(JRA) - netkeiba,1,1,チャイボーグ,牝6,56.0,藤懸,美浦的場,58.2,13
202608030908,４歳以上１勝クラス 出馬表 | 2026年5月23日 京都8R レース情報(JRA) - netkeiba,2,2,フィングステン,牝4,56.0,幸,栗東橋田,11.9,4
202608030908,４歳以上１勝クラス 出馬表 | 2026年5月23日 京都8R レース情報(JRA) - netkeiba,3,2,ウインラウダ,牡5,58.0,岩田望,栗東梅田,17.0,6
202608030908,４歳以上１勝クラス 出馬表 | 2026年5月23日 京都8R レース情報(JRA) - netkeiba,4,3,ワイドモヒート,牡5,58.0,高杉,栗東藤岡健,18.8,7
202608030908,４歳以上１勝クラス 出馬表 | 2026年5月23日 京都8R レース情報(JRA) - netkeiba,5,3,メイショウタクボク,牡6,58.0,太宰,栗東高橋亮,63.3,15
202608030908,４歳以上１勝クラス 出馬表 | 2026年5月23日 京都8R レース情報(JRA) - netkeiba,6,4,ピエタンツァ,牝4,56.0,武豊,栗東松永幹,7.3,3
202608030908,４歳以上１勝クラス 出馬表 | 2026年5月23日 京都8R レース情報(JRA) - netkeiba,7,4,イフリーティア,牝4,56.0,斎藤,栗東茶木,59.8,14
202608030908,４歳以上１勝クラス 出馬表 | 2026年5月23日 京都8R レース情報(JRA) - netkeiba,8,5,グリプトグラフィ,牡4,58.0,吉村,栗東井上,28.3,11
202608030908,４歳以上１勝クラス 出馬表 | 2026年5月23日 京都8R レース情報(JRA) - netkeiba,9,5,ハルフロンティア,牡4,56.0,△田山,栗東池添,21.1,8
202608030908,４歳以上１勝クラス 出馬表 | 2026年5月23日 京都8R レース情報(JRA) - netkeiba,10,6,マディソンガール,牝4,56.0,川田,栗東中内田,2.5,1
202608030908,４歳以上１勝クラス 出馬表 | 2026年5月23日 京都8R レース情報(JRA) - netkeiba,11,6,ジェゼロ,牡4,58.0,戸崎圭,栗東須貝,14.7,5
202608030908,４歳以上１勝クラス 出馬表 | 2026年5月23日 京都8R レース情報(JRA) - netkeiba,12,7,キョウエイグッド,牡4,58.0,小崎,美浦千葉,22.6,10
202608030908,４歳以上１勝クラス 出馬表 | 2026年5月23日 京都8R レース情報(JRA) - netkeiba,13,7,アンビアンス,牝4,56.0,三浦,栗東清水久,21.3,9
202608030908,４歳以上１勝クラス 出馬表 | 2026年5月23日 京都8R レース情報(JRA) - netkeiba,14,8,セルリアンゲーゲン,牡5,58.0,酒井,栗東谷,37.1,12
202608030908,４歳以上１勝クラス 出馬表 | 2026年5月23日 京都8R レース情報(JRA) - netkeiba,15,8,ウインリベラシオン,牡4,58.0,田口,栗東緒方,4.9,2
