race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,1,1,ポッドロゴ,牡5,57.0,岩田望,栗東西園翔,51.9,15
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,2,1,キョウキランブ,牡4,57.0,菅原明,美浦古賀慎,73.9,16
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,3,2,リアライズカミオン,牡4,57.0,坂井,美浦堀,6.5,3
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,4,2,ジューンアヲニヨシ,牡6,57.0,浜中,栗東松下,25.9,11
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,5,3,ヴァルツァーシャル,牡7,57.0,斎藤,美浦高木,20.8,9
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,6,3,ハグ,牡4,57.0,高杉,栗東藤岡健,18.8,8
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,7,4,ゼットリアン,牡6,57.0,団野,栗東吉田,10.0,4
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,8,4,ヴァンヤール,牡8,57.0,角田和,栗東庄野,36.8,13
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,9,5,メリークリスマス,牡4,57.0,三浦,美浦小手川,22.6,10
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,10,5,シュラザック,牡4,57.0,幸,栗東大根田,46.9,14
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,11,6,タイトニット,牡6,57.0,川田,栗東今野,15.7,6
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,12,6,サイモンザナドゥ,牡6,57.0,池添,栗東小林,15.5,5
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,13,7,チュウワクリスエス,牡4,57.0,武豊,美浦栗田,29.9,12
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,14,7,ロードクロンヌ,牡5,58.0,横山和,栗東四位,3.0,1
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,15,8,ナルカミ,牡4,59.0,戸崎圭,美浦田中博,5.4,2
202608030911,平安ステークス(G3) 出馬表 | 2026年5月23日 京都11R レース情報(JRA) - netkeiba,16,8,アクションプラン,牡6,57.0,松山,美浦池上,16.7,7
