race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202604010701,４歳以上障害未勝利 出馬表 | 2026年5月23日 新潟1R レース情報(JRA) - netkeiba,1,1,コンフェルマ,セ5,60.0,小牧加,栗東寺島,7.1,4
202604010701,４歳以上障害未勝利 出馬表 | 2026年5月23日 新潟1R レース情報(JRA) - netkeiba,2,2,ランフォースマイル,牝4,57.0,五十嵐,美浦秋本,11.0,5
202604010701,４歳以上障害未勝利 出馬表 | 2026年5月23日 新潟1R レース情報(JRA) - netkeiba,3,3,コトブキヘスペラス,牡6,60.0,金子,美浦金成,74.0,14
202604010701,４歳以上障害未勝利 出馬表 | 2026年5月23日 新潟1R レース情報(JRA) - netkeiba,4,3,バンデルオーラ,牡7,60.0,伴,美浦岩戸,4.9,3
202604010701,４歳以上障害未勝利 出馬表 | 2026年5月23日 新潟1R レース情報(JRA) - netkeiba,5,4,メイショウトム,牡5,60.0,難波,栗東谷,12.4,6
202604010701,４歳以上障害未勝利 出馬表 | 2026年5月23日 新潟1R レース情報(JRA) - netkeiba,6,4,ヨシノヤッタルデー,牡5,60.0,黒岩,栗東中竹,39.7,9
202604010701,４歳以上障害未勝利 出馬表 | 2026年5月23日 新潟1R レース情報(JRA) - netkeiba,7,5,ヴァルトバーデン,牡4,57.0,▲鷲頭,美浦粕谷,65.1,12
202604010701,４歳以上障害未勝利 出馬表 | 2026年5月23日 新潟1R レース情報(JRA) - netkeiba,8,5,キャネル,牡5,57.0,▲坂口,美浦手塚久,3.1,1
202604010701,４歳以上障害未勝利 出馬表 | 2026年5月23日 新潟1R レース情報(JRA) - netkeiba,9,6,ゴールデンステップ,牝5,58.0,上野,美浦和田勇,4.6,2
202604010701,４歳以上障害未勝利 出馬表 | 2026年5月23日 新潟1R レース情報(JRA) - netkeiba,10,6,セイウンビッグバン,牡4,57.0,▲水沼,美浦萱野,41.9,10
202604010701,４歳以上障害未勝利 出馬表 | 2026年5月23日 新潟1R レース情報(JRA) - netkeiba,11,7,プレミアブルー,牡4,59.0,中村,美浦菊川,51.7,11
202604010701,４歳以上障害未勝利 出馬表 | 2026年5月23日 新潟1R レース情報(JRA) - netkeiba,12,7,エターナルシルバー,牡4,59.0,草野,美浦中舘,16.2,7
202604010701,４歳以上障害未勝利 出馬表 | 2026年5月23日 新潟1R レース情報(JRA) - netkeiba,13,8,イェルマーク,牡5,60.0,大江圭,美浦西田,66.2,13
202604010701,４歳以上障害未勝利 出馬表 | 2026年5月23日 新潟1R レース情報(JRA) - netkeiba,14,8,パーセルペーパー,牡5,60.0,江田勇,美浦和田雄,26.0,8
