race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202604010702,３歳未勝利 出馬表 | 2026年5月23日 新潟2R レース情報(JRA) - netkeiba,1,1,ディジョネット,牝3,52.0,▲石田,美浦松山,111.7,12
202604010702,３歳未勝利 出馬表 | 2026年5月23日 新潟2R レース情報(JRA) - netkeiba,2,2,スマートコーラル,牝3,53.0,△舟山,栗東石坂,1.1,1
202604010702,３歳未勝利 出馬表 | 2026年5月23日 新潟2R レース情報(JRA) - netkeiba,3,2,マッドヘッドラブ,牝3,55.0,武藤,美浦戸田,80.1,10
202604010702,３歳未勝利 出馬表 | 2026年5月23日 新潟2R レース情報(JRA) - netkeiba,4,3,ランランリンリン,牝3,52.0,▲上里,美浦辻,81.9,11
202604010702,３歳未勝利 出馬表 | 2026年5月23日 新潟2R レース情報(JRA) - netkeiba,5,3,エレーデサンライズ,牝3,53.0,◇永島,栗東平田,8.9,2
202604010702,３歳未勝利 出馬表 | 2026年5月23日 新潟2R レース情報(JRA) - netkeiba,6,4,メイショウミズホ,牝3,52.0,▲大久保,美浦和田勇,131.7,13
202604010702,３歳未勝利 出馬表 | 2026年5月23日 新潟2R レース情報(JRA) - netkeiba,7,4,オーシャンミューズ,牝3,52.0,▲石神道,美浦堀内,147.5,14
202604010702,３歳未勝利 出馬表 | 2026年5月23日 新潟2R レース情報(JRA) - netkeiba,8,5,ラミアスペランツァ,牝3,55.0,小沢,栗東宮地,18.8,4
202604010702,３歳未勝利 出馬表 | 2026年5月23日 新潟2R レース情報(JRA) - netkeiba,9,5,アジャイブ,牝3,52.0,▲遠藤,美浦小笠,189.1,15
202604010702,３歳未勝利 出馬表 | 2026年5月23日 新潟2R レース情報(JRA) - netkeiba,10,6,オコリンボーマミー,牝3,53.0,◇今村,栗東石坂,32.4,6
202604010702,３歳未勝利 出馬表 | 2026年5月23日 新潟2R レース情報(JRA) - netkeiba,11,6,エリザベスタウン,牝3,52.0,▲小林美,美浦池上,52.6,7
202604010702,３歳未勝利 出馬表 | 2026年5月23日 新潟2R レース情報(JRA) - netkeiba,12,7,エバーウインド,牝3,52.0,▲和田陽,栗東藤野,74.5,8
202604010702,３歳未勝利 出馬表 | 2026年5月23日 新潟2R レース情報(JRA) - netkeiba,13,7,タガノアルテミス,牝3,55.0,丹内,栗東西園翔,18.6,3
202604010702,３歳未勝利 出馬表 | 2026年5月23日 新潟2R レース情報(JRA) - netkeiba,14,8,エロイーズ,牝3,55.0,西塚,栗東吉田,77.6,9
202604010702,３歳未勝利 出馬表 | 2026年5月23日 新潟2R レース情報(JRA) - netkeiba,15,8,ウェルム,牝3,55.0,ゴンサルベ,栗東小栗,18.9,5
