race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,1,1,クイーンレグナント,牝3,55.0,杉原,美浦嘉藤,41.0,9
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,2,1,コパノトーマス,牡3,57.0,菊沢,美浦青木,21.7,7
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,3,2,ブレイヴソルジャー,牡3,57.0,石田,美浦新開,2.3,1
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,4,2,カシノリアーナ,牝3,55.0,石神道,美浦天間,86.9,14
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,5,3,コウジハラ,牝3,55.0,木幡初,美浦西田,59.0,11
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,6,3,アースコーリング,牡3,57.0,井上瑛,地方五十冬,130.3,16
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,7,4,フローラルツッキー,牝3,55.0,河原田,美浦伊坂,59.0,12
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,8,4,ウィングブルー,牝3,55.0,ゴンサルベ,美浦斎藤誠,9.1,4
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,9,5,ミヤフロント,牝3,55.0,森田,栗東斉藤崇,63.3,13
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,10,5,ダブルチャレンジ,牝3,55.0,長岡,美浦深山,10.0,6
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,11,6,エムティリオ,牝3,55.0,上里,美浦小野,123.1,15
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,12,6,クワイエットアイ,牡3,57.0,柴田裕,栗東中竹,54.7,10
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,13,7,オタルイーグル,牡3,57.0,亀田,栗東高柳大,9.8,5
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,14,7,トモジャオーリー,牝3,55.0,小林美,美浦鈴木伸,7.4,3
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,15,8,シーグルロス,牝3,55.0,丹内,美浦尾形,21.7,8
202604010709,はやぶさ賞(1勝クラス) 出馬表 | 2026年5月23日 新潟9R レース情報(JRA) - netkeiba,16,8,カレンデュラ,牝3,55.0,嶋田,美浦室井,5.9,2
