race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202604010712,４歳以上１勝クラス 出馬表 | 2026年5月23日 新潟12R レース情報(JRA) - netkeiba,1,1,ペルフェツィオーネ,牡5,58.0,小沢,栗東杉山佳,26.4,12
202604010712,４歳以上１勝クラス 出馬表 | 2026年5月23日 新潟12R レース情報(JRA) - netkeiba,2,2,ダイヤモンド,牡4,58.0,富田,栗東清水久,10.3,6
202604010712,４歳以上１勝クラス 出馬表 | 2026年5月23日 新潟12R レース情報(JRA) - netkeiba,3,2,スペルビア,セ4,55.0,▲上里,美浦石栗,112.5,15
202604010712,４歳以上１勝クラス 出馬表 | 2026年5月23日 新潟12R レース情報(JRA) - netkeiba,4,3,バルジール,牡4,56.0,◇今村,美浦久保田,6.7,3
202604010712,４歳以上１勝クラス 出馬表 | 2026年5月23日 新潟12R レース情報(JRA) - netkeiba,5,3,レネネト,牝4,54.0,◇永島,栗東柴田,25.2,11
202604010712,４歳以上１勝クラス 出馬表 | 2026年5月23日 新潟12R レース情報(JRA) - netkeiba,6,4,オオタニサーン,牡5,58.0,丹内,美浦堀,4.8,1
202604010712,４歳以上１勝クラス 出馬表 | 2026年5月23日 新潟12R レース情報(JRA) - netkeiba,7,4,エテオクロス,牡4,55.0,▲石田,美浦新開,15.7,8
202604010712,４歳以上１勝クラス 出馬表 | 2026年5月23日 新潟12R レース情報(JRA) - netkeiba,8,5,サンライズジュピタ,牡4,56.0,△舟山,栗東石坂,15.2,7
202604010712,４歳以上１勝クラス 出馬表 | 2026年5月23日 新潟12R レース情報(JRA) - netkeiba,9,5,チャコワールド,牡7,55.0,▲水沼,美浦的場,80.4,14
202604010712,４歳以上１勝クラス 出馬表 | 2026年5月23日 新潟12R レース情報(JRA) - netkeiba,10,6,ペッパーミル,牡5,58.0,ゴンサルベ,美浦加藤士,4.8,2
202604010712,４歳以上１勝クラス 出馬表 | 2026年5月23日 新潟12R レース情報(JRA) - netkeiba,11,6,ヴェントインコーダ,牝4,56.0,丸山,栗東角田,8.2,5
202604010712,４歳以上１勝クラス 出馬表 | 2026年5月23日 新潟12R レース情報(JRA) - netkeiba,12,7,アルマーレシチー,セ5,54.0,★河原田,美浦上原博,22.7,10
202604010712,４歳以上１勝クラス 出馬表 | 2026年5月23日 新潟12R レース情報(JRA) - netkeiba,13,7,メイプルギャング,牡5,56.0,△柴田裕,栗東中竹,37.5,13
202604010712,４歳以上１勝クラス 出馬表 | 2026年5月23日 新潟12R レース情報(JRA) - netkeiba,14,8,アメリカンランナー,牡5,58.0,西塚,栗東茶木,22.5,9
202604010712,４歳以上１勝クラス 出馬表 | 2026年5月23日 新潟12R レース情報(JRA) - netkeiba,15,8,ブリングライト,牡6,58.0,菊沢,美浦松山,7.8,4
