race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,1,1,アルペンローゼ,牝3,55.0,田辺,美浦栗田,17.6,9
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,2,1,フクオトコ,牡3,56.0,☆長浜,美浦菊沢,4.5,1
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,3,2,ビップマリク,セ3,57.0,吉田豊,美浦高柳瑞,29.4,12
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,4,2,ウィズアツインクル,牡3,57.0,石橋脩,美浦牧,15.3,8
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,5,3,モストロ,牡3,54.0,▲佐藤,美浦勢司,81.6,17
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,6,3,レアリゼソンレーヴ,牡3,57.0,佐々木,美浦大竹,14.2,7
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,7,4,リトルコリンズ,牡3,57.0,原田和,美浦小手川,151.6,18
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,8,4,カーヴドヴァン,牝3,55.0,西村太,美浦大和田,72.3,15
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,9,5,ウインリフレクト,牡3,57.0,木幡巧,美浦嘉藤,49.7,13
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,10,5,ローレルクラウン,牡3,57.0,松岡,美浦松尾,28.1,10
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,11,6,エクストラダーク,牡3,57.0,柴田大,美浦和田雄,72.3,16
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,12,6,ウインドオブヘヴン,牡3,57.0,ディー,美浦戸田,6.1,3
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,13,7,フランシスガリバー,牝3,55.0,横山典,美浦千葉,10.9,5
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,14,7,ローズプリンセス,牝3,55.0,荻野極,美浦上原佑,9.9,4
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,15,7,キョンチャン,牝3,55.0,江田照,美浦深山,53.0,14
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,16,8,アドマイヤパープル,牝3,55.0,津村,美浦宮田,13.9,6
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,17,8,イーガービーバー,牡3,57.0,国分優,美浦和田郎,28.4,11
202605020904,３歳未勝利 出馬表 | 2026年5月23日 東京4R レース情報(JRA) - netkeiba,18,8,フリーヤ,牝3,55.0,横山武,美浦鈴木伸,4.5,2
