race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,1,1,ストレングス,牡5,57.0,佐々木,栗東寺島,16.4,6
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,2,1,フェルヴェンテ,牡6,57.0,秋山稔,栗東宮,56.6,12
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,3,2,ドンインザムード,牡4,59.0,荻野極,栗東今野,2.0,1
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,4,2,ハチメンロッピ,牡6,57.0,原,美浦矢野,58.8,13
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,5,3,ニシキギミッチー,牡6,57.0,横山武,美浦鈴木伸,16.4,7
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,6,3,シンバーシア,牝5,55.0,木幡巧,美浦大竹,59.5,14
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,7,4,スカイロケット,牡6,57.0,ディー,栗東須貝,33.5,9
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,8,4,ダノンザボルケーノ,牡5,57.0,大野,美浦菊沢,48.0,11
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,9,5,ノーブルロジャー,牡5,59.0,石川,栗東吉岡,9.5,4
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,10,5,ジャスパーゴールド,セ8,58.0,江田照,栗東森秀,59.5,15
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,11,6,タイセイブレイズ,牡8,57.0,松岡,栗東牧浦,15.2,5
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,12,6,アスクドゥラメンテ,牡7,57.0,石橋脩,栗東藤原,111.0,16
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,13,7,カンパニョーラ,牝7,55.0,吉田豊,美浦伊坂,47.7,10
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,14,7,ペイシャケイプ,牡4,57.0,横山典,栗東高橋康,6.8,2
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,15,8,スマートサニー,牡6,57.0,国分優,栗東石橋,23.5,8
202605020911,欅ステークス(OP) 出馬表 | 2026年5月23日 東京11R レース情報(JRA) - netkeiba,16,8,ワイワイレジェンド,牡5,57.0,津村,栗東前川,7.5,3
