race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,1,1,レーヴドレフォン,牝5,56.0,吉田豊,栗東橋田,62.0,14
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,2,1,ルトゥール,牝5,56.0,佐々木,美浦平岩,49.8,12
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,3,2,パイシャオピン,牝4,56.0,横山武,美浦鈴木伸,3.0,1
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,4,2,キョウエイフロイデ,牝5,56.0,原,美浦中川,4.1,2
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,5,3,エーリアル,牝5,56.0,ディー,美浦西田,27.1,10
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,6,3,スカイビート,牝4,56.0,石橋脩,栗東野中,40.5,11
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,7,4,ネクストダンサー,牝4,53.0,▲佐藤,美浦伊藤圭,121.7,16
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,8,4,ゴーソーファー,牝4,56.0,津村,美浦手塚久,19.8,7
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,9,5,フィールオーサム,牝4,56.0,ルメール,美浦岩戸,21.6,8
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,10,5,タマモカンパネラ,牝4,52.0,★谷原,美浦伊藤圭,8.0,4
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,11,6,オーケアニス,牝4,56.0,石川,栗東松永幹,17.2,6
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,12,6,エターナルプロミス,牝4,56.0,国分優,栗東茶木,22.9,9
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,13,7,エンプレスフレーム,牝4,56.0,原田和,美浦上原博,49.8,13
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,14,7,マジックローズ,牝4,56.0,荻野極,栗東中内田,6.6,3
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,15,8,カーラデマドレ,牝4,56.0,レーン,美浦矢嶋,13.8,5
202605020912,４歳以上２勝クラス 出馬表 | 2026年5月23日 東京12R レース情報(JRA) - netkeiba,16,8,マフィン,牝5,55.0,☆長浜,美浦大和田,67.1,15
