race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,1,1,ヘリオポリス,牡3,54.0,▲和田陽,栗東杉山佳,145.5,15
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,2,1,ジュピターバローズ,牡3,57.0,西塚,栗東友道,25.8,9
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,3,2,タガノプディング,牝3,55.0,横山典,栗東小林,2.8,1
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,4,2,ペイシャトサモア,牝3,55.0,井上,栗東吉田,211.7,16
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,5,3,ファツアップ,牡3,57.0,小沢,栗東緒方,11.5,5
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,6,3,トラステッド,牝3,53.0,◇永島,栗東宮本,55.4,11
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,7,4,アリハム,牡3,57.0,武豊,栗東武幸,9.2,4
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,8,4,クロレ,牝3,55.0,坂井,栗東福永,8.3,3
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,9,5,ダズリングノット,牡3,55.0,△鷲頭,栗東井上,105.8,13
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,10,5,サウンドディアナ,牝3,53.0,◇古川奈,栗東渡辺,73.3,12
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,11,6,テイエムファントム,牡3,57.0,田口,栗東鈴木孝,22.3,7
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,12,6,ゴールドアーチ,牡3,57.0,丹内,栗東坂口,11.8,6
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,13,7,ドローイング,牝3,53.0,△柴田裕,栗東秋山,124.2,14
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,14,7,ニホンピロローカス,牡3,57.0,鮫島駿,栗東中尾,3.3,2
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,15,8,トゥルパーニ,牝3,53.0,◇今村,栗東寺島,25.5,8
202608031101,３歳未勝利 出馬表 | 2026年5月30日 京都1R レース情報(JRA) - netkeiba,16,8,マクローリン,牡3,57.0,斎藤,栗東加藤公,46.3,10
