年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,ルクスエアン,牡,3,幸,57.0,36.7,10,京都,4,3歳未勝利,2400,良,11,芝
2026,5,3,2,アルディメント,牡,3,岩田望,57.0,15.0,6,京都,4,3歳未勝利,2400,良,11,芝
2026,5,3,3,シートゥサミット,牡,3,酒井,57.0,20.0,7,京都,4,3歳未勝利,2400,良,11,芝
2026,5,3,4,エアルチーナ,牝,3,松山,55.0,5.4,3,京都,4,3歳未勝利,2400,良,11,芝
2026,5,3,5,ヴィスメンティス,牡,3,松本,57.0,25.0,8,京都,4,3歳未勝利,2400,良,11,芝
2026,5,3,6,スクランブシャス,牡,3,荻野極,57.0,34.7,9,京都,4,3歳未勝利,2400,良,11,芝
2026,5,3,7,ダンシングドナイト,牡,3,川田,57.0,3.7,2,京都,4,3歳未勝利,2400,良,11,芝
2026,5,3,8,バーヴォ,牡,3,津村,57.0,7.6,4,京都,4,3歳未勝利,2400,良,11,芝
2026,5,3,9,グロートカイザー,牡,3,国分優,57.0,64.1,11,京都,4,3歳未勝利,2400,良,11,芝
2026,5,3,10,ヴィラジョヴィス,牝,3,北村友,55.0,9.4,5,京都,4,3歳未勝利,2400,良,11,芝
2026,5,3,11,マジョルブルー,牡,3,レーン,57.0,2.9,1,京都,4,3歳未勝利,2400,良,11,芝
