race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,1,1,ウレシイゴサン,牡3,57.0,嶋田,美浦伊藤大,8.0,4
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,2,1,ブライティアロード,牝3,52.0,▲石神道,美浦和田郎,50.7,11
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,3,2,グランフォワイエ,牡3,54.0,▲上里,美浦室井,107.9,16
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,4,2,アンコ,牝3,52.0,▲石田,栗東武英,78.0,13
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,5,3,ピコバレット,牡3,55.0,富田,美浦牧,25.2,8
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,6,3,ウインラブソング,牝3,52.0,▲川端,栗東宮,99.9,15
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,7,4,ドゥボヌール,牝3,52.0,▲和田陽,栗東奥村豊,19.2,7
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,8,4,シンデレラリバティ,牝3,52.0,▲遠藤,美浦蛯名利,64.7,12
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,9,5,ゲンテン,牡3,57.0,ゴンサルベ,美浦尾関,5.7,3
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,10,5,マイネルユーゲント,牡3,54.0,▲小林美,美浦加藤士,4.0,2
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,11,6,リュウセイコウテイ,牡3,57.0,丹内,美浦奥平,11.7,6
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,12,6,ソワンドヴィクター,牝3,55.0,丸田,美浦高橋文,10.7,5
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,13,7,ハルヒメ,牝3,53.0,△舟山,美浦矢嶋,3.3,1
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,14,7,ピコテーパー,牡3,57.0,杉原,美浦伊藤大,27.4,9
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,15,8,チャーミングアイ,牝3,52.0,▲大久保,美浦菊川,41.8,10
202604010801,３歳未勝利 出馬表 | 2026年5月24日 新潟1R レース情報(JRA) - netkeiba,16,8,ユニベールクイーン,牝3,51.0,★河原田,美浦武市,82.5,14
