race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202604010603,３歳未勝利 出馬表 | 2026年5月17日 新潟3R レース情報(JRA) - netkeiba,1,1,パソドブレ,牝3,52.0,▲石神道,美浦中川,20.3,6
202604010603,３歳未勝利 出馬表 | 2026年5月17日 新潟3R レース情報(JRA) - netkeiba,2,2,ベルオーシャン,牝3,53.0,△舟山,美浦柄崎,4.3,3
202604010603,３歳未勝利 出馬表 | 2026年5月17日 新潟3R レース情報(JRA) - netkeiba,3,2,ジョイベル,牝3,52.0,▲遠藤,美浦本間,64.6,14
202604010603,３歳未勝利 出馬表 | 2026年5月17日 新潟3R レース情報(JRA) - netkeiba,4,3,ロンバスブレス,牝3,55.0,菊沢,美浦石栗,25.6,9
202604010603,３歳未勝利 出馬表 | 2026年5月17日 新潟3R レース情報(JRA) - netkeiba,5,3,パピヨンヴェール,牝3,55.0,石川,栗東吉岡,24.0,8
202604010603,３歳未勝利 出馬表 | 2026年5月17日 新潟3R レース情報(JRA) - netkeiba,6,4,マリリンバローズ,牝3,55.0,荻野極,栗東佐藤悠,3.8,2
202604010603,３歳未勝利 出馬表 | 2026年5月17日 新潟3R レース情報(JRA) - netkeiba,7,4,アドバンスジェンヌ,牝3,51.0,★河原田,美浦小手川,34.1,11
202604010603,３歳未勝利 出馬表 | 2026年5月17日 新潟3R レース情報(JRA) - netkeiba,8,5,スカット,牝3,52.0,▲上里,美浦堀内,22.9,7
202604010603,３歳未勝利 出馬表 | 2026年5月17日 新潟3R レース情報(JRA) - netkeiba,9,5,プティシラー,牝3,54.0,☆長浜,美浦上原博,30.1,10
202604010603,３歳未勝利 出馬表 | 2026年5月17日 新潟3R レース情報(JRA) - netkeiba,10,6,マジンタクシー,牝3,55.0,吉田隼,美浦深山,13.4,5
202604010603,３歳未勝利 出馬表 | 2026年5月17日 新潟3R レース情報(JRA) - netkeiba,11,6,アンジュリオ,牝3,55.0,丸田,美浦高橋文,35.2,12
202604010603,３歳未勝利 出馬表 | 2026年5月17日 新潟3R レース情報(JRA) - netkeiba,12,7,エコロセレナ,牝3,55.0,斎藤,美浦斎藤誠,3.6,1
202604010603,３歳未勝利 出馬表 | 2026年5月17日 新潟3R レース情報(JRA) - netkeiba,13,7,ライブリピュア,牝3,55.0,小林凌,美浦尾形,65.5,15
202604010603,３歳未勝利 出馬表 | 2026年5月17日 新潟3R レース情報(JRA) - netkeiba,14,8,リトセア,牝3,55.0,小沢,栗東浜田,9.6,4
202604010603,３歳未勝利 出馬表 | 2026年5月17日 新潟3R レース情報(JRA) - netkeiba,15,8,リリーサンライズ,牝3,55.0,富田,栗東矢作,49.3,13
