race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202604010806,３歳未勝利 出馬表 | 2026年5月24日 新潟6R レース情報(JRA) - netkeiba,1,1,ニシノロッドマン,牡3,57.0,野中,美浦矢嶋,31.8,8
202604010806,３歳未勝利 出馬表 | 2026年5月24日 新潟6R レース情報(JRA) - netkeiba,2,2,ホウオウストライク,牡3,57.0,荻野極,栗東池江,9.4,4
202604010806,３歳未勝利 出馬表 | 2026年5月24日 新潟6R レース情報(JRA) - netkeiba,3,3,メイショウイッカク,牡3,53.0,★河原田,栗東池添,20.8,7
202604010806,３歳未勝利 出馬表 | 2026年5月24日 新潟6R レース情報(JRA) - netkeiba,4,4,クロームクロス,牡3,57.0,斎藤,栗東西園翔,19.2,6
202604010806,３歳未勝利 出馬表 | 2026年5月24日 新潟6R レース情報(JRA) - netkeiba,5,5,キングスペード,牡3,57.0,富田,栗東武英,32.3,9
202604010806,３歳未勝利 出馬表 | 2026年5月24日 新潟6R レース情報(JRA) - netkeiba,6,5,ウルトラハート,牡3,57.0,丸山,栗東中尾,6.5,2
202604010806,３歳未勝利 出馬表 | 2026年5月24日 新潟6R レース情報(JRA) - netkeiba,7,6,コイオステソーロ,牡3,57.0,丹内,美浦高木,1.8,1
202604010806,３歳未勝利 出馬表 | 2026年5月24日 新潟6R レース情報(JRA) - netkeiba,8,6,フィオリータ,牡3,57.0,横山琉,美浦大竹,48.2,11
202604010806,３歳未勝利 出馬表 | 2026年5月24日 新潟6R レース情報(JRA) - netkeiba,9,7,キタノハイテイル,牡3,55.0,◇古川奈,栗東羽月,36.0,10
202604010806,３歳未勝利 出馬表 | 2026年5月24日 新潟6R レース情報(JRA) - netkeiba,10,7,マイカラー,牡3,55.0,△舟山,栗東吉岡,10.5,5
202604010806,３歳未勝利 出馬表 | 2026年5月24日 新潟6R レース情報(JRA) - netkeiba,11,8,ドリームゴーズオン,牡3,57.0,長岡,栗東高橋亮,50.8,12
202604010806,３歳未勝利 出馬表 | 2026年5月24日 新潟6R レース情報(JRA) - netkeiba,12,8,パンサーズ,牡3,57.0,小沢,栗東今野,7.6,3
