race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,1,1,ナムラトロム,牡4,58.0,武藤,美浦石栗,70.3,15
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,2,1,デボラ,牝4,56.0,小崎,栗東柴田,65.3,14
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,3,2,ユメシバイ,牝4,53.0,▲小林美,栗東松永幹,7.2,3
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,4,2,フォルトレス,牝4,56.0,菊沢,美浦田中剛,13.9,9
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,5,3,エコロハート,牝4,56.0,亀田,栗東須貝,15.4,10
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,6,3,セイプリーズ,牝4,53.0,▲上里,栗東宮,7.1,2
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,7,4,スカイブルー,牡4,55.0,▲和田陽,栗東佐藤悠,11.7,5
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,8,4,ルージュベルベット,牝5,56.0,ゴンサルベ,美浦浅利,3.8,1
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,9,5,セガンティーニ,牝4,56.0,石川,栗東坂口,13.1,7
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,10,5,インターポーザー,牡4,58.0,小沢,栗東高野,12.3,6
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,11,6,フェゲフォイア,牡6,56.0,△柴田裕,栗東岡田,86.8,16
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,12,6,アーサーズウェイン,牝4,56.0,横山琉,栗東高橋一,9.3,4
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,13,7,キタノクニカラ,牝4,53.0,▲遠藤,美浦奥平,38.3,13
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,14,7,スプリングデイ,牝5,56.0,黛,美浦伊藤大,23.6,12
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,15,8,ライングッドマン,牡5,55.0,▲佐藤,美浦武藤,23.0,11
202604010808,４歳以上１勝クラス 出馬表 | 2026年5月24日 新潟8R レース情報(JRA) - netkeiba,16,8,オメガストリーム,牝4,56.0,丸田,美浦田中勝,13.7,8
