年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,メイショウウセキ,牡,4,難波,59.0,24.2,8,新潟,4,4歳以上障害未勝利,2890,稍重,14,障
2026,5,3,2,クレプスクルム,牡,4,五十嵐,59.0,37.7,13,新潟,4,4歳以上障害未勝利,2890,稍重,14,障
2026,5,3,3,ビスタ,牡,4,小牧,59.0,40.8,14,新潟,4,4歳以上障害未勝利,2890,稍重,14,障
2026,5,3,4,ヴェルトラウム,セ,5,大江原,60.0,15.0,6,新潟,4,4歳以上障害未勝利,2890,稍重,14,障
2026,5,3,5,コレベティトール,セ,6,井上,57.0,4.1,2,新潟,4,4歳以上障害未勝利,2890,稍重,14,障
2026,5,3,6,イーサンバーニング,牡,7,田村,60.0,20.2,7,新潟,4,4歳以上障害未勝利,2890,稍重,14,障
2026,5,3,7,モズナイスデイ,牡,5,森一,60.0,3.0,1,新潟,4,4歳以上障害未勝利,2890,稍重,14,障
2026,5,3,8,メイショウカセマチ,牡,6,黒岩,60.0,33.5,12,新潟,4,4歳以上障害未勝利,2890,稍重,14,障
2026,5,3,9,フォルガイル,牡,5,水沼,57.0,6.5,3,新潟,4,4歳以上障害未勝利,2890,稍重,14,障
2026,5,3,10,サンダブラジョン,牡,6,上野,60.0,13.5,5,新潟,4,4歳以上障害未勝利,2890,稍重,14,障
2026,5,3,11,ギャネル,牡,5,坂口,57.0,25.9,9,新潟,4,4歳以上障害未勝利,2890,稍重,14,障
2026,5,3,12,グランジュルノ,牡,4,伴,59.0,9.0,4,新潟,4,4歳以上障害未勝利,2890,稍重,14,障
2026,5,3,13,ランフォースマイル,牝,4,中村,57.0,33.2,11,新潟,4,4歳以上障害未勝利,2890,稍重,14,障
2026,5,3,14,イデアユウシン,牡,6,草野,60.0,29.7,10,新潟,4,4歳以上障害未勝利,2890,稍重,14,障
