race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,1,1,ラショナルポイント,牝3,55.0,横山武,美浦大竹,2.8,1
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,2,1,ビレッジルイーザ,牝3,55.0,丹内,美浦伊藤圭,21.8,6
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,3,2,アジュアカレンツ,牝3,55.0,ディー,美浦西田,9.7,4
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,4,2,ダイユウヴェンティ,牝3,55.0,菊沢,美浦松永康,43.5,9
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,5,3,コーリンクレア,牝3,55.0,石橋脩,美浦小野,34.0,8
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,6,3,カグヤヒメ,牝3,55.0,ゴンサルベ,美浦加藤士,11.5,5
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,7,4,デルマザオウ,牝3,55.0,木幡巧,美浦松山,30.4,7
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,8,4,アリストクラット,牝3,52.0,▲石神道,美浦田島,117.9,16
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,9,5,アイアンパイク,牝3,55.0,横山典,美浦村田,2.9,2
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,10,5,アンニャンクッキー,牝3,55.0,原,美浦黒岩,61.8,11
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,11,6,アテナガール,牝3,52.0,▲石田,美浦西田,66.0,12
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,12,6,ソフィアプルーマ,牝3,54.0,☆長浜,美浦上原博,68.4,13
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,13,7,タイセイルビー,牝3,55.0,三浦,美浦千葉,7.3,3
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,14,7,リナクィーンアスク,牝3,52.0,▲小林美,美浦田島,78.2,15
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,15,8,ライトハウス,牝3,55.0,佐々木,美浦久保田,75.1,14
202605030102,３歳未勝利 出馬表 | 2026年6月6日 東京2R レース情報(JRA) - netkeiba,16,8,クラックアスマイル,牝3,52.0,▲上里,美浦田島,56.7,10
