race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,1,1,リバースザトレンド,牝4,56.0,横山和,美浦中舘,45.0,12
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,2,1,サファイアテソーロ,牝3,53.0,木幡巧,美浦高木,53.2,14
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,3,2,ヴンダーバール,牝3,53.0,横山武,美浦斎藤誠,2.1,1
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,4,2,ファンシーズ,牝3,50.0,▲石田,美浦尾形,28.5,10
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,5,3,マーキュリーダイム,牝4,56.0,丹内,美浦室井,46.5,13
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,6,3,エコールナヴァール,牝3,53.0,戸崎圭,美浦森一,16.2,4
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,7,4,ルージュカルデア,牝3,53.0,原,美浦加藤征,35.7,11
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,8,4,アンディラメナ,牝3,53.0,丸山,美浦田島,16.7,5
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,9,5,レイフロレット,牝5,56.0,柴田大,美浦和田雄,157.1,15
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,10,5,リケアマカロニ,牝3,53.0,ゴンサルベ,美浦小野,26.9,9
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,11,6,プルーヴンウィナー,牝5,56.0,津村,美浦林,4.9,2
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,12,6,ミライヘノティアラ,牝3,53.0,北村宏,美浦伊藤大,19.3,7
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,13,7,トキメキジニア,牝4,56.0,丸田,美浦佐藤吉,182.6,16
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,14,7,エアトベーレ,牝3,53.0,嶋田,美浦手塚久,22.2,8
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,15,8,カリヨンアヴォン,牝3,53.0,菊沢,美浦勢司,17.8,6
202605030108,３歳以上１勝クラス 出馬表 | 2026年6月6日 東京8R レース情報(JRA) - netkeiba,16,8,エムノビアンカ,牝3,52.0,☆長浜,美浦古賀慎,6.8,3
