年,月,日,馬番,馬名,性別,年齢,騎手,斤量,オッズ,人気,競馬場,レース番号,レース名,距離,馬場,頭数,芝ダ
2026,5,3,1,リーゼントジェイド,セ,5,松岡,58.0,76.9,13,東京,7,4歳以上1勝クラス,1600,稍重,15,ダ
2026,5,3,2,スマートブル,牡,4,木幡初,58.0,86.3,14,東京,7,4歳以上1勝クラス,1600,稍重,15,ダ
2026,5,3,3,ディーザキング,牡,9,西塚,58.0,57.0,12,東京,7,4歳以上1勝クラス,1600,稍重,15,ダ
2026,5,3,4,レッドルイナール,牡,4,佐藤,55.0,19.3,9,東京,7,4歳以上1勝クラス,1600,稍重,15,ダ
2026,5,3,5,カンレイスキー,牡,4,江田照,58.0,24.2,10,東京,7,4歳以上1勝クラス,1600,稍重,15,ダ
2026,5,3,6,カルフ,セ,5,原,58.0,11.9,6,東京,7,4歳以上1勝クラス,1600,稍重,15,ダ
2026,5,3,7,スクレイピング,セ,4,岩田康,58.0,4.7,2,東京,7,4歳以上1勝クラス,1600,稍重,15,ダ
2026,5,3,8,ヴォラーレ,牡,4,木幡育,58.0,98.3,15,東京,7,4歳以上1勝クラス,1600,稍重,15,ダ
2026,5,3,9,コーシューパンジャ,牡,4,長浜,56.0,6.3,3,東京,7,4歳以上1勝クラス,1600,稍重,15,ダ
2026,5,3,10,レッドベルダンス,牡,4,嶋田,58.0,8.0,5,東京,7,4歳以上1勝クラス,1600,稍重,15,ダ
2026,5,3,11,ステンロックガゼ,牡,5,横山典,58.0,4.3,1,東京,7,4歳以上1勝クラス,1600,稍重,15,ダ
2026,5,3,12,ミスティマウンテン,牡,4,荻野極,58.0,17.2,8,東京,7,4歳以上1勝クラス,1600,稍重,15,ダ
2026,5,3,13,ボーロスロマネ,牡,4,北村宏,58.0,36.4,11,東京,7,4歳以上1勝クラス,1600,稍重,15,ダ
2026,5,3,14,ビーピーザチーク,牡,4,浜中,58.0,6.5,4,東京,7,4歳以上1勝クラス,1600,稍重,15,ダ
2026,5,3,15,ライストゥザトップ,牡,4,木幡巧,56.0,16.3,7,東京,7,4歳以上1勝クラス,1600,稍重,15,ダ
