race_id,race_name,horse_no,frame_no,horse_name,sex_age,carried_weight,jockey,trainer,odds,popularity
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,1,1,フェスティヴドレス,牝3,53.0,岩田望,栗東岡田,6.6,4
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,2,1,シュテルンビルト,牡4,58.0,松山,栗東森田,17.1,6
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,3,2,ジューンアゲイン,牡3,55.0,吉村,栗東長谷川,20.2,10
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,4,2,ユーヴェリア,牝5,54.0,△柴田裕,栗東笹田,44.1,14
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,5,3,ルージュバロン,牝3,53.0,坂井,栗東福永,5.0,2
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,6,3,メイプルギャング,牡5,54.0,★河原田,栗東中竹,78.9,16
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,7,4,セルズパワー,牡4,58.0,幸,栗東牧田,27.2,12
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,8,4,サマーナイト,牡4,58.0,高杉,栗東寺島,20.8,11
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,9,5,コマチチャン,牝3,53.0,松若,栗東小椋,13.1,5
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,10,5,スレッドザニードル,牡4,58.0,国分恭,栗東安達,69.6,15
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,11,6,マダムイグレイン,牝4,54.0,◇今村,栗東飯田,17.1,7
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,12,6,ゴメンネジロー,牡4,58.0,武豊,栗東谷,5.6,3
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,13,7,ゼンカイナダル,牡3,55.0,西村淳,栗東庄野,4.9,1
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,14,7,アンピュルシオン,牝4,56.0,長岡,栗東今野,17.3,8
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,15,8,メイショウサトノヒ,牡4,58.0,角田和,栗東長谷川,17.7,9
202609030112,３歳以上１勝クラス 出馬表 | 2026年6月6日 阪神12R レース情報(JRA) - netkeiba,16,8,ニシノジェダイ,牡4,58.0,池添,栗東宮本,28.9,13
